avg_umass_coherence,umass_coherence,glove_coherence,num_topics,chunksize,passes,no_above_list,no_below_list,decay,offset
-3.4657564449184637,-3.4657564449184646,0.5716921,200,1280,20,0.1,25,0.5,1024
-3.461138499038707,-3.461138499038708,0.57767415,200,1280,20,0.11958131745004018,25,0.5,1024
-3.199693600202847,-3.1996936002028464,0.57780707,200,1280,20,0.14299691483087287,25,0.5,1024
-2.9391853004066957,-2.939185300406693,0.5895595,200,1280,20,0.17099759466766973,25,0.5,1024
-2.8176194379828052,-2.8176194379828052,0.5835189,200,1280,20,0.2044811765114791,25,0.5,1024
-2.8122134137828785,-2.8122134137828785,0.5871482,200,1280,20,0.2445212848097688,25,0.5,1024
-2.7357911000450574,-2.735791100045059,0.59321165,200,1280,20,0.2924017738212866,25,0.5,1024
-2.653400809336657,-2.653400809336656,0.59450215,200,1280,20,0.3496578933827813,25,0.5,1024
-2.653400809336657,-2.653400809336656,0.59450215,200,1280,20,0.4181255154751867,25,0.5,1024
-2.6092668987670384,-2.609266898767038,0.6072197,200,1280,20,0.5,25,0.5,1024
-2.6092668987670384,-2.609266898767038,0.6072197,200,1280,20,0.5,25,0.5,1024
-2.6092668987670384,-2.609266898767038,0.6072197,200,1280,20,0.540029869446153,25,0.5,1024
-2.6092668987670384,-2.609266898767038,0.6072197,200,1280,20,0.5832645197880583,25,0.5,1024
-2.6092668987670384,-2.609266898767038,0.6072197,200,1280,20,0.6299605249474366,25,0.5,1024
-2.6092668987670384,-2.609266898767038,0.6072197,200,1280,20,0.6803950000871885,25,0.5,1024
-2.6092668987670384,-2.609266898767038,0.6072197,200,1280,20,0.7348672461377994,25,0.5,1024
-2.6092668987670384,-2.609266898767038,0.6072197,200,1280,20,0.7937005259840998,25,0.5,1024
-2.6092668987670384,-2.609266898767038,0.6072197,200,1280,20,0.8572439828530729,25,0.5,1024
-2.6092668987670384,-2.609266898767038,0.6072197,200,1280,20,0.9258747122872905,25,0.5,1024
-2.6092668987670384,-2.609266898767038,0.6072197,200,1280,20,1.0,25,0.5,1024
