num_topics,alpha0,alpha1,delta,umass,glove
100,0.1,0.15,0.049999999999999996,-6.587092266168319,0.4796403
100,0.1,0.1,0.049999999999999996,-9.883320380380798,0.43383598
100,0.1,0.1,0.05649154819548764,-6.527275567254158,0.50709295
100,0.1,0.1,0.06382590035046207,-8.237628566251008,0.4855169
100,0.1,0.1,0.0721124785153704,-6.956291782285275,0.5308042
100,0.1,0.1,0.08147491111094231,-8.066161761031143,0.5043836
100,0.1,0.1,0.09205287735493739,-7.626828636501732,0.51628613
100,0.1,0.1,0.10400419115259521,-9.149493977341722,0.51931083
100,0.1,0.1,0.11750715554059085,-8.890155602264423,0.50931627
100,0.1,0.1,0.13276322281071903,-8.564099152724443,0.4930759
100,0.1,0.1,0.15,-5.982060139782087,0.5323578
