num_topics,alpha0,alpha1,delta,umass,glove
100,0.15,0.049999999999999996,0.1,-6.605427919139896,0.49361706
100,0.15,0.05649154819548764,0.1,-6.862551228261585,0.5012106
100,0.15,0.06382590035046207,0.1,-7.707201475801357,0.5263404
100,0.15,0.0721124785153704,0.1,-7.391297031075316,0.4980208
100,0.15,0.08147491111094231,0.1,-7.957794634867565,0.48064947
100,0.15,0.09205287735493739,0.1,-6.964554920776466,0.5052949
100,0.15,0.10400419115259521,0.1,-6.854016412449483,0.5083443
100,0.15,0.11750715554059085,0.1,-9.106444655275332,0.46139798
100,0.15,0.13276322281071903,0.1,-9.648809440237475,0.48647565
