avg_umass_coherence,umass_coherence,glove_coherence,num_topics,chunksize,passes,no_above_list,no_below_list,decay,offset
-3.5359862400062085,-3.535986240006206,0.57135385,200,1280,20,0.5,1,0.5,1024
-2.988121397691592,-2.9881213976915926,0.577853,200,1280,20,0.5,5,0.5,1024
-2.7817251217997563,-2.781725121799756,0.5870933,200,1280,20,0.5,10,0.5,1024
-2.767395895301332,-2.7673958953013322,0.5986911,200,1280,20,0.5,15,0.5,1024
-2.568458474400722,-2.5684584744007215,0.6033177,200,1280,20,0.5,20,0.5,1024
-2.6092668987670384,-2.609266898767038,0.6072197,200,1280,20,0.5,25,0.5,1024
