num_topics,alpha0,alpha1,delta,umass,glove
18,0.1,0.1,0.1,-4.532415020605354,0.6054016
23,0.1,0.1,0.1,-4.484347668497841,0.5808763
50,0.1,0.1,0.1,-7.3778992266312065,0.53270966
100,0.1,0.1,0.1,-7.14473949365621,0.5019546
