avg_umass_coherence,umass_coherence,glove_coherence,num_topics,chunksize,passes,no_above_list,no_below_list,decay,offset
-3.3771108147577196,-3.3771108147577205,0.5808812,200,1152,20,0.5,1,0.5,0
-3.3720567910699977,-3.372056791069998,0.580435,200,1152,20,0.5,1,0.540029869446153,0
-3.3859755457950182,-3.385975545795018,0.57839566,200,1152,20,0.5,1,0.5832645197880583,0
-3.415002248510922,-3.4150022485109206,0.5783162,200,1152,20,0.5,1,0.6299605249474366,0
-3.389196951811064,-3.389196951811066,0.57891536,200,1152,20,0.5,1,0.6803950000871885,0
-3.3589322171406155,-3.358932217140615,0.57759565,200,1152,20,0.5,1,0.7348672461377994,0
-3.421458550661439,-3.42145855066144,0.57807565,200,1152,20,0.5,1,0.7937005259840998,0
-3.4889502097443956,-3.4889502097443956,0.5770388,200,1152,20,0.5,1,0.8572439828530729,0
-3.4541823517940786,-3.454182351794078,0.57638687,200,1152,20,0.5,1,0.9258747122872905,0
-3.36479241322573,-3.3647924132257288,0.5776811,200,1152,20,0.5,1,1.0,0
-3.5359862400062085,-3.535986240006206,0.57135385,200,1280,20,0.5,1,0.5,1024
-4.990809893953035,-4.990809893953036,0.5610754,200,1280,20,0.5,1,0.6,1024
-9.199486594711335,-9.199486594711335,0.5053149,200,1280,20,0.5,1,0.7,1024
-13.765718974734384,-13.765718974734382,0.427753,200,1280,20,0.5,1,0.8,1024
-16.217729661873097,-16.217729661873097,0.38240796,200,1280,20,0.5,1,0.9,1024
-17.58081693528369,-17.580816935283696,0.35410178,200,1280,20,0.5,1,1.0,1024
